3 1 1
20 8 42109
aardvark 8 2 25797
aardvarks 9 2 36910
aback 5 2 22559
abacus 6 3 24992
abalone 7 4 19425
abalones 8 4 37198
abandon 7 3 3511
abandoned 9 3 2434
abandoning 10 4 9904
abandonment 11 4 15736
abandons 8 3 20155
abash 5 2 41756
abashed 7 2 38610
abate 5 2 29449
abated 6 3 31147
abatement 9 3 36236
abates 6 2 39438
abating 7 3 38409
abbey 5 2 7793
abbot 5 2 9841
abbreviate 10 4 36406
abbreviated 11 5 32262
abbreviates 11 4 42094
abbreviating 12 5 40003
abbreviation 12 5 27284
abbreviations 13 5 31992
abdicate 8 3 24695
abdicated 9 4 30153
abdicates 9 3 38842
abdicating 10 4 38121
abdication 10 4 30885
abdomen 7 3 8609
abdominal 9 4 10532
abduct 6 2 14093
abducted 8 3 5799
abducting 9 3 20998
abduction 9 3 8172
abductions 10 3 18995
abductor 8 3 22033
abductors 9 3 28400
abducts 7 2 32745
abed 4 2 11708
aberrant 8 3 27432
aberration 10 4 21551
aberrations 11 4 32234
abet 4 2 33084
abetted 7 3 28677
abetting 8 3 17490
abeyance 8 3 33505
abhor 5 2 22787
abhorred 8 2 31437
abhorrence 10 3 36301
abhorrent 9 3 26339
abhors 6 2 30340
abide 5 2 9345
abided 6 3 34543
abides 6 2 31844
abiding 7 3 21059
abilities 9 4 5618
ability 7 4 2461
abject 6 2 20865
ablaze 6 2 17202
able 4 2 437
abler 5 3 40616
ablest 6 2 38035
abloom 6 2 40191
ably 4 2 31427
abnegation 10 4 33195
abnormal 8 3 8129
abnormalities 13 5 20241
abnormality 11 5 21712
abnormally 10 4 22169
aboard 6 2 2553
abode 5 2 13007
abolish 7 3 17299
abolished 9 3 16005
abolishes 9 4 39446
abolishing 10 4 29804
abolition 9 4 23332
abolitionist 12 5 31362
abolitionists 13 5 32910
abominable 10 5 15381
abomination 11 5 11907
abominations 12 5 26820
aboriginal 10 5 21270
aborigine 9 5 31036
aborigines 10 5 25991
abort 5 2 7466
aborted 7 3 15347
aborting 8 3 27122
abortion 8 3 5295
abortionist 11 4 33075
abortionists 12 4 39559
abortions 9 3 17388
abortive 8 3 35828
aborts 6 2 38970
abound 6 2 21326
abounded 8 3 37182
abounding 9 3 36400
abounds 7 2 29915
about 5 2 28
above 5 2 1156
aboveboard 10 3 28187
abracadabra 11 5 15596
abrasion 8 3 24181
abrasions 9 3 15464
abrasive 8 3 22907
abrasives 9 3 40000
abreast 7 2 24728
abridge 7 2 39648
abridged 8 2 32580
abridgement 11 3 41008
abridges 8 3 41959
abridging 9 3 38529
abroad 6 2 3586
abrogate 8 3 40750
abrogated 9 4 38324
abrogating 10 4 40932
abrogation 10 4 40573
abrupt 6 2 15204
abruptly 8 3 13167
abruptness 10 3 38493
abscess 7 2 20471
abscond 7 2 32083
absconded 9 3 27300
absconding 10 3 31335
absconds 8 2 40005
absence 7 2 4515
absences 8 3 24340
absent 6 2 6956
absentee 8 3 24228
